ap_id	geo_id
46119	5000144350
46123	5000145550
46134	5000148700
46142	5000153725
46143	5000153950
46161	5000159650
46174	5000162575
46183	5000165050
46190	5000170075
46206	5000174650
46213	5000176075
46231	5000183275
46233	5000183800
46005	5000301450
46015	5000304825
46057	5000317725
46105	5000339025
46115	5000342850
46146	5000355000
46153	5000357025
46158	5000358600
46166	5000361000
46175	5000362875
46176	5000363175
46177	5000363550
46188	5000369775
46196	5000371425
46240	5000385075
46244	5000385675
46010	5000502875
46034	5000510450
46055	5000517125
46083	5000530550
46088	5000531825
46104	5000537900
46113	5000541725
46131	5000547725
46145	5000554400
46169	5000561525
46179	5000564075
46173	5000562200
46189	5000569925
46197	5000571575
46211	5000575700
46218	5000577125
46232	5000583500
46021	5000706550
46035	5000710675
46043	5000713300
46048	5000714875
46066	5000724175
46092	5000733475
46095	5000734600
46102	5000736700
46122	5000745250
46160	5000759275
46180	5000764300
46185	5000766175
46172	5000762050
46205	5000773975
46224	5000780350
46236	5000784475
46241	5000785150
46020	5000906325
46028	5000908725
46033	5000910075
46039	5000911800
46049	5000915250
46061	5000921250
46079	5000929125
46084	5000930775
46107	5000939700
46112	5000941425
46114	5000942475
46139	5000952750
46209	5000975175
46007	5001102500
46017	5001105425
46065	5001124050
46067	5001124925
46068	5001125225
46073	5001126500
46074	5001127100
46075	5001127700
46091	5001133025
46124	5001145850
46159	5001159125
46181	5001164600
46170	5001161750
46198	5001171725
46003	5001300860
46080	5001329275
46099	5001335875
46138	5001350650
46186	5001367000
46014	5001504375
46038	5001511500
46063	5001523500
46064	5001523725
46096	5001535050
46103	5001537075
46128	5001546675
46192	5001570525
46219	5001577425
46242	5001585375
46022	5001707375
46023	5001707600
46030	5001709325
46044	5001713525
46050	5001715700
46070	5001725675
46132	5001748175
46141	5001753425
46156	5001758075
46193	5001770675
46199	5001772400
46201	5001773075
46204	5001773675
46208	5001774950
46216	5001776750
46222	5001779975
46235	5001784175
46002	5001900475
46013	5001903550
46032	5001909850
46042	5001913150
46052	5001916150
46053	5001916300
46056	5001917350
46076	5001928075
46082	5001930175
46093	5001933775
46098	5001935575
46101	5001936325
46110	5001940525
46127	5001946450
46135	5001948925
46203	5001973525
46223	5001980200
46227	5001981700
46016	5002105200
46024	5002107750
46040	5002111950
46046	5002114350
46047	5002114500
46054	5002116825
46069	5002125375
46094	5002134450
46097	5002135425
46182	5002137685
46118	5002144125
46121	5002144800
46129	5002147200
46130	5002147425
46144	5002154250
46147	5002155450
46148	5002155600
46152	5002156875
46154	5002157250
46167	5002161300
46184	5002165275
46195	5002171050
46200	5002172925
46212	5002175925
46221	5002177950
46225	5002180875
46229	5002182300
46011	5002303175
46018	5002305650
46036	5002311125
46037	5002311350
46060	5002318550
46062	5002321925
46071	5002325825
46117	5002343600
46120	5002344500
46125	5002346000
46126	5002346225
46137	5002350275
46149	5002355825
46164	5002360625
46210	5002375325
46215	5002376525
46217	5002376975
46243	5002385525
46246	5002386125
46006	5002501900
46025	5002507900
46031	5002509475
46058	5002517875
46059	5002518325
46078	5002528900
46085	5002530925
46086	5002531150
46100	5002536175
46109	5002540225
46116	5002543375
46133	5002548400
46155	5002557700
46163	5002560250
46194	5002570750
46202	5002573300
46207	5002574800
46214	5002576225
46226	5002581400
46234	5002583950
46237	5002584700
46238	5002584850
46004	5002701300
46008	5002702575
46009	5002702725
46019	5002705800
46026	5002708275
46041	5002712250
46045	5002713675
46089	5002732275
46090	5002732425
46111	5002741275
46140	5002752900
46150	5002756050
46151	5002756350
46157	5002758375
46162	5002760100
46165	5002760850
46178	5002763775
46187	5002769550
46191	5002770375
46220	5002777500
46230	5002783050
46228	5002782000
46239	5002784925
46245	5002785975
46072	5000126300
46171	5001161675
46136	5001948850
46168	5002161225
46012	5002303250
	5000327962
	5000710300
	5000902125
	5000902162
	5000925975
	5000939775
	5000976337
	5000976562
	5002565762
2003	2001
2004	2002
2005	2003
2006	2004
2007	2005
2008	2006
2009	2007
2010	2008
2011	2009
2012	2010
2013	2011
2014	2012
2015	2013
2016	2014
2017	2015
2018	2016
2019	2017
2020	2018
2021	2019
2022	2020
2023	2021
2024	2022
2025	2023
2026	2024
2027	2025
2028	2026
2029	2027
2030	2028
2031	2029
2032	2030
2033	2031
2034	2032
2035	2033
2036	2034
2037	2035
2038	2036
2039	2037
2040	2038
2041	2039
2042	2040
24089	2701
24090	2702
24091	2703
24092	2704
24093	2705
24094	2706
24095	2707
24096	2708
